,image,score
0,120,100.00%
1,60,70.60%
2,180,68.98%
3,0,65.22%
4,240,57.80%
5,300,48.40%
6,360,44.57%
7,420,39.60%
8,960,32.91%
9,480,32.75%
10,540,32.50%
11,720,31.02%
12,900,30.96%
13,840,30.62%
14,1020,30.21%
15,780,27.77%
16,600,26.33%
17,660,24.99%
18,4440,24.62%
19,4560,23.94%
20,1080,22.91%
21,4500,22.77%
22,5040,18.46%
23,4740,18.36%
24,4380,17.77%
25,1200,17.75%
26,1140,17.37%
27,4020,15.79%
28,4980,15.03%
29,4680,14.62%
30,4080,14.20%
31,4620,14.12%
32,5400,14.03%
33,4140,13.70%
34,1260,13.35%
35,4320,13.24%
36,4800,12.76%
37,3960,12.74%
38,4860,12.71%
39,4920,11.82%
40,4260,11.57%
41,5280,11.12%
42,1320,10.12%
43,4200,10.00%
44,1380,9.73%
45,5100,8.62%
46,3900,8.44%
47,5700,8.35%
48,5160,7.10%
49,1860,6.73%
50,5580,6.44%
51,3660,6.30%
52,5220,6.15%
53,5460,5.98%
54,5340,5.56%
55,1440,5.53%
56,5520,5.40%
57,2280,5.22%
58,1920,5.21%
59,5640,4.14%
60,3840,3.64%
61,5880,3.26%
62,3780,3.18%
63,3720,2.88%
64,2340,2.81%
65,6540,2.47%
66,6840,2.44%
67,3240,2.40%
68,1620,2.03%
69,1980,1.86%
70,3600,1.77%
71,2220,1.72%
72,3480,1.68%
73,3300,1.51%
74,6480,1.39%
75,3120,1.38%
76,2700,1.36%
77,2640,1.05%
78,1800,1.02%
79,3360,1.01%
80,3420,0.88%
81,2820,0.88%
82,6900,0.80%
83,2160,0.79%
84,6660,0.67%
85,1680,0.60%
86,1560,0.60%
87,2100,0.54%
88,2760,0.51%
89,7140,0.49%
90,2040,0.40%
91,2880,0.37%
92,5820,0.34%
93,1740,0.32%
94,2940,0.30%
95,6300,0.29%
96,3000,0.26%
97,3180,0.24%
98,7080,0.22%
99,6120,0.22%
100,1500,0.21%
101,6960,0.21%
102,6720,0.19%
103,7020,0.14%
104,3540,0.11%
105,2580,-0.00%
106,2400,-0.00%
107,3060,-0.00%
108,6000,-0.00%
109,6060,-0.00%
110,2460,-0.00%
111,6420,-0.00%
112,6360,-0.00%
113,6180,-0.00%
114,5940,-0.01%
115,2520,-0.01%
116,6240,-0.01%
117,5760,-0.01%
118,6780,-0.01%
119,6600,-0.01%
