,file_name,abspath,location,date_taken
0,0.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/0.pickle,1,07/21/2021
1,1020.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1020.pickle,2,07/21/2021
2,1080.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1080.pickle,3,07/21/2021
3,1140.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1140.pickle,4,07/21/2021
4,120.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/120.pickle,5,07/21/2021
5,1200.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1200.pickle,6,07/21/2021
6,1260.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1260.pickle,7,07/21/2021
7,1320.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1320.pickle,8,07/21/2021
8,1380.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1380.pickle,9,07/21/2021
9,1440.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1440.pickle,10,07/21/2021
10,1500.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1500.pickle,11,07/21/2021
11,1560.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1560.pickle,12,07/21/2021
12,1620.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1620.pickle,13,07/21/2021
13,1680.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1680.pickle,14,07/21/2021
14,1740.pickle,C:/Users/Admin/SuperGlue (Obodroid Intern)/SuperGluePretrainedNetwork-master/saved_superpoints/pickle/test_realdata/1740.pickle,15,07/21/2021
